2011,6224,4787,7830,17468,13678,21704,12484,9939,15140,NA,CamdenCounty,combined,combined
2012,6049,5108,7172,18482,15945,21441,13856,12084,15883,NA,CamdenCounty,combined,combined
2013,5570,4253,6995,18987,16086,22182,15460,13130,18068,NA,CamdenCounty,combined,combined
2014,5273,4150,6392,18814,15841,22032,15553,13531,17798,NA,CamdenCounty,combined,combined
2015,4830,3596,6258,17882,14558,21598,14796,12212,17379,NA,CamdenCounty,combined,combined
2016,5218,4032,6577,19080,16065,22535,16383,13747,18881,NA,CamdenCounty,combined,combined
2017,5964,4551,7822,21956,18339,25712,18548,15859,21356,NA,CamdenCounty,combined,combined
2018,6257,4696,8108,23706,18845,28691,19509,16092,23324,NA,CamdenCounty,combined,combined
2019,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,NA,CamdenCounty,combined,combined
2020,4673,3461,6275,17520,14030,21715,15010,11840,18337,NA,CamdenCounty,combined,combined
2021,5482,4444,6597,18871,15729,22379,17310,14538,19995,NA,CamdenCounty,combined,combined
2004,613,444,823,2064,1511,2732,2746,2083,3490,NA,CapeMayCounty,combined,combined
2005,743,507,1062,2423,1796,3130,3161,2470,3987,NA,CapeMayCounty,combined,combined
2006,856,711,1025,2949,2509,3469,3573,3070,4130,NA,CapeMayCounty,combined,combined
2007,812,658,971,2905,2396,3399,3496,2927,4063,NA,CapeMayCounty,combined,combined
2008,866,726,1014,2995,2552,3479,3643,3162,4179,NA,CapeMayCounty,combined,combined
2009,766,631,928,3379,2833,4016,3755,3191,4404,NA,CapeMayCounty,combined,combined
2010,828,588,1138,3685,2972,4613,4187,3432,4992,NA,CapeMayCounty,combined,combined
2011,835,648,1067,3545,2809,4441,3912,3163,4789,NA,CapeMayCounty,combined,combined
2012,755,627,896,3416,2889,3978,4020,3449,4617,NA,CapeMayCounty,combined,combined
2013,757,547,1055,3453,2709,4266,4786,4060,5581,NA,CapeMayCounty,combined,combined
2014,717,537,931,3365,2719,4069,4626,3975,5309,NA,CapeMayCounty,combined,combined
2015,600,424,845,2882,2226,3666,3944,3267,4726,NA,CapeMayCounty,combined,combined
2016,538,405,716,2703,2135,3383,3658,3101,4388,NA,CapeMayCounty,combined,combined
2017,619,426,864,3071,2400,3856,4296,3565,5106,NA,CapeMayCounty,combined,combined
2018,644,447,871,3357,2485,4293,4572,3664,5656,NA,CapeMayCounty,combined,combined
2019,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,NA,CapeMayCounty,combined,combined
2020,588,359,879,2927,1964,4194,4467,3158,6041,NA,CapeMayCounty,combined,combined
2021,736,536,972,3568,2681,4578,5498,4259,6923,NA,CapeMayCounty,combined,combined
2004,1867,1392,2441,4128,3172,5258,3417,2678,4343,NA,CumberlandCounty,combined,combined
2005,2189,1609,2924,5014,3889,6329,3868,2954,4842,NA,CumberlandCounty,combined,combined
2006,2384,1915,2971,5074,4220,6205,4057,3409,4870,NA,CumberlandCounty,combined,combined
2007,2154,1677,2658,4739,3788,5731,3813,3104,4542,NA,CumberlandCounty,combined,combined
2008,2321,1884,2833,4983,4125,5921,4059,3413,4764,NA,CumberlandCounty,combined,combined
2009,2225,1749,2722,5016,4010,6031,3936,3205,4661,NA,CumberlandCounty,combined,combined
2010,2408,1769,3183,6307,5101,7612,4434,3635,5303,NA,CumberlandCounty,combined,combined
2011,2259,1762,2826,5377,4306,6544,4048,3294,4871,NA,CumberlandCounty,combined,combined
2012,2338,1982,2727,5997,5179,6865,4611,4012,5214,NA,CumberlandCounty,combined,combined
2013,2266,1715,2926,6050,4981,7185,5315,4487,6223,NA,CumberlandCounty,combined,combined
2014,2168,1712,2682,6322,5314,7312,5177,4399,5913,NA,CumberlandCounty,combined,combined
2015,1973,1500,2551,6189,5119,7366,5117,4259,6016,NA,CumberlandCounty,combined,combined
2016,1936,1494,2492,6278,5203,7416,5214,4365,6107,NA,CumberlandCounty,combined,combined
2017,1943,1439,2539,6684,5434,7929,5649,4843,6482,NA,CumberlandCounty,combined,combined
2018,1863,1333,2541,6108,4656,7746,5259,4157,6524,NA,CumberlandCounty,combined,combined
2019,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,NA,CumberlandCounty,combined,combined
2020,1488,984,2145,4770,3422,6315,4788,3413,6206,NA,CumberlandCounty,combined,combined
2021,1733,1237,2334,5698,4232,7407,5262,3956,6677,NA,CumberlandCounty,combined,combined
2004,8360,6781,10288,19301,16142,22614,13643,11522,15972,NA,EssexCounty,combined,combined
2005,9214,7202,11743,21655,18310,26004,16779,14274,19466,NA,EssexCounty,combined,combined
2006,9523,8043,10866,24067,20700,27341,16125,13996,18039,NA,EssexCounty,combined,combined
2007,11147,9579,12802,28274,24676,32035,18876,16691,21103,NA,EssexCounty,combined,combined
2008,10443,9123,11980,26942,23957,30398,18219,16247,20363,NA,EssexCounty,combined,combined
2009,10822,9324,12275,26377,23197,29557,18073,16161,20102,NA,EssexCounty,combined,combined
2010,9784,7538,12326,27293,23448,31295,18199,15692,20980,NA,EssexCounty,combined,combined
2011,11725,9786,14080,28977,24446,33852,18955,16279,21925,NA,EssexCounty,combined,combined
2012,10154,8947,11536,28278,25267,31613,19019,17162,21128,NA,EssexCounty,combined,combined
2013,8813,6933,11151,30306,26140,34755,21024,18282,23803,NA,EssexCounty,combined,combined
2014,9549,8006,11289,32541,28882,36542,21846,19224,24464,NA,EssexCounty,combined,combined
2015,9263,7331,11521,31042,26610,35275,22066,19146,25014,NA,EssexCounty,combined,combined
2016,8989,7307,10978,30820,26863,35209,23133,20433,25866,NA,EssexCounty,combined,combined
2017,9095,7053,11423,31436,27296,35575,23867,21102,26868,NA,EssexCounty,combined,combined
2018,10131,7753,13094,31884,26982,37713,24130,20333,28296,NA,EssexCounty,combined,combined
2019,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,NA,EssexCounty,combined,combined
2020,7922,6005,10590,26492,21739,32121,22541,18517,27127,NA,EssexCounty,combined,combined
2021,9279,7625,11187,31668,27016,36571,24915,21466,28651,NA,EssexCounty,combined,combined
2004,2532,1869,3303,6210,4815,7805,4740,3625,5897,NA,GloucesterCounty,combined,combined
2005,3010,2200,4037,8134,6438,10185,6061,4832,7395,NA,GloucesterCounty,combined,combined
2006,3311,2753,3928,8931,7540,10409,6165,5256,7099,NA,GloucesterCounty,combined,combined
2007,3532,2878,4261,9770,8105,11509,6633,5611,7720,NA,GloucesterCounty,combined,combined
2008,4031,3387,4724,10966,9385,12573,7483,6480,8452,NA,GloucesterCounty,combined,combined
2009,3341,2742,4011,9720,8116,11393,6754,5729,7834,NA,GloucesterCounty,combined,combined
2010,3310,2489,4329,10284,8411,12518,7535,6170,9039,NA,GloucesterCounty,combined,combined
2011,3072,2374,3895,9518,7514,11748,6602,5297,8064,NA,GloucesterCounty,combined,combined
2012,3510,2968,4108,11713,10107,13474,8415,7372,9544,NA,GloucesterCounty,combined,combined
2013,2966,2195,3932,11492,9440,13727,9307,7869,10955,NA,GloucesterCounty,combined,combined
